LogIdentifierID,UndertakingNO,Undertaking_Name
BRAVO,315413740,Bravo!
CBET,320495005,"Canadian Broadcasting Corporation, windsor (CBET-DT)"
CFTV3,535418075,"Southshore Broadcasting Inc., leamington (CFTV-DT)"
CHEX,320468002,"591987 B.C. Ltd., peterborough (CHEX-DT)"
CICT,430447003,"Corus Television Limited Partnership, calgary (CICT-DT)"
CIMT,220450035,"Télé Inter-Rives ltée, rivière-du-loup (CIMT-DT)"
CKMI,210497004,"Corus Television Limited Partnership, quebec (CKMI-DT)"
FIGHT,535418348,Fight Network 
SCSD02,535422406,Super Channel (formerly Allarco Entertainment)
SMITH,535422357,Smithsonian Channel (formerly eqhd)
STJUICE,405426322,Stingray Juicebox
TCN,305417215,The Comedy Network 
TMN3,314600354,Crave (The Movie Network)
TRN,305424616,HPItv (formerly The Racing Network Canada)
WARNER,535429791,Hollywood Suite 70s Movies (formerly Warner Films)
13ST,305423907,Crime + Investigation (formerly Mystery)
ASIDE,535428149,A.Side (formerly AUX TV)
AUX,535428149,A.Side (formerly AUX TV)
CFCNL,430451054,"Bell Media Inc., lethbridge (CFCN-DT-5)"
CKAL,405417909,"Rogers Media Inc., calgary (CKAL-DT)"
CKSH,220516009,"Société Radio-Canada, sherbrooke (CKSH-DT)"
HGTV,305417322,HGTV Canada - Home and Garden Television Canada
SE01,214300535,Super Écran
STLOUD,305426539,Stingray Loud
CBFT,210426003,"Société Radio-Canada, montreal (CBFT-DT)"
DSNYXD,535445648,Disney XD
NICK,535427068,Nickelodeon (formerly YTV OneWorld)
OMON,535445482,OMNI Regional
PRIMETV,305417299,DTOUR (formerly TVtropolis)
STVIBE,305426521,Stingray Vibe
TV5,214301103,TV5 - Unis
ASN,124100280,CTV Two Atlantic (formerly /A\ Atlantic & ASN)
CBAT,134200161,"Canadian Broadcasting Corporation, fredericton (formerly saint john change to main area) (CBAT-DT)"
CBNT,110436003,"Canadian Broadcasting Corporation, st. john's (CBNT-DT)"
CGTV,305428072,GameTV (formerly CGTV Canada)
CHEK,510467004,"0859291 B.C. Ltd., victoria (CHEK-DT)"
CHWI,325410488,"Bell Media Inc., chatham/windsor/wheatley (CHWI-DT)"
CITS,305420375,"Crossroads Television System, hamilton (CITS-DT)"
DTOUR,305417299,DTOUR (formerly TVtropolis)
HPITV,305424616,HPItv (formerly The Racing Network Canada)
OMAB,535445482,OMNI Regional
SLVSC,535417803,Silver Screen Classics
ABORIW,535437471,Aboriginal Peoples Television Network (APTN)
CFTV2,535418075,"Southshore Broadcasting Inc., leamington (CFTV-DT)"
CHBC,520465006,"Corus Television Limited Partnership, kelowna (CHBC-DT)"
CHISTO,205421556,Historia
CHLT,220471007,"TVA Group Inc., sherbrooke (CHLT-DT)"
CITL,430456129,"Stingray Radio Inc., lloydminster (CITL-DT)"
CIVM,210963005,"Société de télédiffusion du Québec, montreal (CIVM-DT)"
CKNY,330500000,"Bell Media Inc., north bay (CKNY-TV)"
COOK,305427636,Cooking Channel (formerly W Movies)
COSMO,535425723,Cosmopolitan TV (formerly Cosmopolitan Television) 
DSNYEN,535445622,Disney Channel
DSNYFR,535421127,La chaîne Disney (formerly TÉLÉTOON Rétro (Français))
LCN,205417406,Le Canal Nouvelles (LCN)
MLLE,535430516,Moi&cie (formerly Mlle)
OUTTV,305423973,OUTtv (formerly PrideVision)
PRIDE,305423973,OUTtv (formerly PrideVision)
SE02,214300535,Super Écran
TELENO,314600552,Telelatino
TOON,305417231,TELETOON/TÉLÉTOON
WMOV,305427636,Cooking Channel (formerly W Movies)
BNN,305417273,BNN Bloomberg
CHNM,505428658,"Rogers Media Inc., vancouver (CHNM-DT)"
CJCB,124100041,"Bell Media Inc., sydney (CJCB-TV)"
CRAVE3,314600354,Crave (The Movie Network)
CTVNC,305417223,CTV News Channel (formerly CTV Newsnet)
FCTV,314600560,Fairchild TV
MMAX,205417399,MAX (formerly MUSIMAX)
OMBC,535445482,OMNI Regional
OWN,305417257,OWN: The Oprah Winfrey Network (formerly OWN; formerly VIVA)
SEAS,535435699,The Seasonal Channel
SPTVA2,535429486,TVA Sports
TANG,535433015,NTD Television
AMIFR,535437356,AMI-télé
CARTN,535421135,Cartoon Network (formerly TELETOON Retro (English))
CFMT,314600024,"Rogers Media Inc., toronto (CFMT-DT)"
CFRS,234502441,"V Interactions inc., saguenay (jonquiere) (CFRS-DT)"
CFTV,535418075,"Southshore Broadcasting Inc., leamington (CFTV-DT)"
