AirLanguageID|AirLanguageCode|ActiveFG|EnglishDescription|IsAboriginalLanguage|FrenchDescription|FilterTvFG|FilterPayFG
1|2V |1|2 VERSIONS-TST|1|2 VERSIONS||
2|3V |1|3 OR MORE VERS.|0|3 VERS. OU PLUS||
3|ACE|1|ACHINESE||ACHINOIS||
4|ACH|1|ACHOLI||ACHOLI||
5|ADA|1|ADANGME||ADANGME||
6|AFA|1|AFRO-ASIATIC (OTHER)||AFRO-ASIATIQUE (AUTRES)||
7|AFH|1|AFRIHILI||AFRIHILI||
8|AFR|1|AFRIKAANS||AFRIKAANS||
9|AJM|1|ALJAMIA||ALJAMIA||
10|AKA|1|AKAN||AKAN||
11|AKK|1|AKKADIAN||AKKADIEN||
12|ALB|1|ALBANIAN||ALBANAIS||
13|ALE|1|ALEUT|1|ALEOUTE||
14|ALG|1|ALGONQUIAN LANGUAGES (INCLUSIVE)|1|LANGUES ALGONQUINES (INCLUSIVE)||
15|AMH|1|AMHARIC||AMHARIQUE||
16|APA|1|APACHE|1|APACHE||
17|ARA|1|ARABIC||ARABE||
18|ARC|1|ACAMAIC||ACAMAIQUE||
19|ARH|1|ARAUCANIAN||ARAUCANIEN||
20|ARM|1|ARMENIAN||ARMENIEN||
21|ARP|1|ARAPAHOE|1|ARAPAHOE||
22|ARW|1|ARAWAK||ARAWAK||
23|ASM|1|ASSAMESE||ASSAMIEN||
24|ATH|1|ATHAPASCAN LANGUAGES (NA-DENE LANGUAGE(S) (INCLUSIVE)|1|LANGUES ATHAPASCANES (NA-DêNê) (INCLUSIVE)||
25|AVA|1|AVARIC||AVARIQUE||
26|AVE|1|AVESTA||AVESTIQUE||
27|AWA|1|AWADHI||AWADHI||
28|AYM|1|AYMARA||AYMARA||
29|AZE|1|AZERBAIJANI||AZERBAIDJANAIS||
30|BAD|1|BANDA||BANDA||
31|BAI|1|BAMILEKE LANGUAGES||LANGUES BAMILEKE||
32|BAK|1|BASHKIR||BASHKIR||
33|BAL|1|BALUCHI||BALUCHI||
34|BAM|1|BAMBARA||BAMBARA||
35|BAN|1|BALINESE||BALINAIS||
36|BAQ|1|BASQUE||BASQUE||
37|BAS|1|BASA||BASA||
38|BAT|1|BALTIC (OTHER)||BALTIQUE (AUTRES)||
39|BEJ|1|BEJA||BEJA||
40|BEL|1|BELORUSSIAN||BELORUSSE||
41|BEN|1|BENGALI||BENGALI||
42|BER|1|BERBER LANGUAGES||LANGUES BERBERES||
43|BHO|1|BHOJPURI||BHOJPURI||
44|BIK|1|BIKOL||BIKOL||
45|BIN|1|BINI||BINI||
46|BLA|1|BLACKFOOT|1|BLACKFOOT||
47|BRA|1|BRAJ||BRAJ||
48|BRE|1|BRETON||BRETON||
49|BUG|1|BUGINESE||BUGINAIS||
50|BUL|1|BULGARIAN||BULGARE||
51|BUR|1|BURMESE||BIRMAN||
52|CAD|1|CADDO||CADDO||
53|CAI|1|CENTRAL AMERICAN INDIAN (OTHER)||INDIEN D'AMERIQUE CENTRALE (AUTRES)||
54|CAM|1|CAMBODIAN||CAMBODGIEN||
55|CAN|1|CANTONESE (DIALECT)||CANTONAIS (DIALECTE)||
56|CAR|1|CARIB||CARIB||
57|CAT|1|CATALAN||CATALAN||
58|CAU|1|CAUCASIAN (OTHER)||CAUCASIEN (AUTRES)||
59|CEB|1|CEBUANO||CABUANO||
60|CEL|1|CELTIC GROUP||GROUPE CELTIQUE||
61|CHA|1|CHAMORRO||CHAMORRO||
62|CHB|1|CHIBCHA||CHIBCHA||
63|CHE|1|CHECHEN||CHECHEN||
64|CHG|1|CHAGATAI||CHAGATAI||
65|CHI|1|CHINESE||CHINOIS||
66|CHN|1|CHINOOK JARGON||CHINOOK (JARGON)||
67|CHO|1|CHOCTAW|1|CHOCTAW||
68|CHR|1|CHEROKEE|1|CHEROKEE||
69|CHU|1|CHURCH SLAVIC||SLAVE RELIGIEUX||
70|CHV|1|CHUVASH||CHUVASH||
71|CHY|1|CHEYENNE|1|CHEYENNE||
72|COP|1|COPTIC||COPTE||
73|COR|1|CORNISH||CORNOUAILLAIS||
74|CPE|1|CREOLES & PIDGINS, ENGLISH-BAS||CREOLE ET PIDGIN (ORIGINE ANGLAISE)||
75|CPF|1|CREOLES & PIDGINS, FRENCH BASE||CREOLE ET PIDGIN (ORIGINE FRANCAISE)||
76|CPP|1|CREOLES & PIDGINS, PORTUGUESE-||CREOLE ET PIDGIN (ORIGINE PORTUGUAISE)||
77|CRE|1|CREE LANGUAGE(S)  (INCLUSIVE)|1|LANGUE CRI (INCLUSIVE)||
78|CRP|1|CREOLES & PIDGINS (OTHER)||CREOLE & PIDGIN (AUTRES)||
79|CUS|1|CUSHITIC (OTHER)||CUSHITIQUE (AUTRES)||
80|CZE|1|CZECH||TCHEQUE||
81|DAK|1|DAKOTA (SIOUX / DAKOTA)|1|DAKOTA (SIOUX / DAKOTA)||
82|DAN|1|DANISH||DANOIS||
83|DEL|1|DELAWARE|1|DELAWARE||
84|DIN|1|DINKA||DINKA||
85|DOI|1|DOGRI||DOGRI||
86|DRA|1|DRAVIDIAN (OTHER)||DRAVIDIEN (AUTRES)||
87|DUA|1|DUALA||DUALA||
88|DUT|1|DUTCH||NEERLANDAIS||
89|DYU|1|DYULA||DYULA||
90|EFI|1|EFIK||EFIK||
91|EGY|1|EGYPTIAN||EGYPTIEN||
92|EKA|1|EKAJUK||EKAJUK||
93|ELX|1|ELAMITE||ELAMITE||
94|ENG|1|ENGLISH||ANGLAIS||
95|ESK|1|ESKIMO|1|ESQUIMAU||
96|ESP|1|ESPERANTO||ESPERANTO||
97|EST|1|ESTONIAN||ESTONIEN||
98|ETH|1|ETHIOPIC||ETHIOPIEN||
99|EWE|1|EWE||EWE||
100|EWO|1|EWONDO||EWONDO||
101|FAN|1|FANG||FANG||
102|FAR|1|FAROESE||FAROENE||
103|FAT|1|FANTI||FANTI||
104|FEV|1|FR. & ENG. VERS.||VERS. FR. & ANGL.||
105|FIJ|1|FIJIAN||FIDJIEN||
106|FIN|1|FINNISH||FINLANDAIS||
107|FIU|1|FINNO-UGRIAN (OTHER)||FINNO-OUGRIEN (AUTRES)||
108|FON|1|FON||FON||
109|FRI|1|FRISIAN||FRISON||
110|FRE|1|FRENCH||FRANCAIS||
111|FUL|1|FULAH||FULAH||
112|GAA|1|GA||GA||
113|GAE|1|GAELIC (SCOTS)||GALLOIS (ECOSSAIS)||
114|GAG|1|GALLEGAN||GALLEGAN||
115|GAL|1|GALLA||GALLA||
116|GAY|1|GAYO||GAYO||
117|GEM|1|GERMANIC (OTHER)||GERMANIQUE (AUTRES)||
118|GEO|1|GEORGIAN||GEORGIEN||
119|GER|1|GERMAN||ALLEMAND||
120|GIL|1|GILBERTESE||GILBERTAIS||
121|GON|1|GONDI||GONDI||
122|GOT|1|GOTHIC||GOTHIQUE||
123|GRB|1|GREBO||GREBO||
124|GRE|1|GREEK||GREC||
125|GUA|1|GUARANI||GUARANI||
126|GUJ|1|GUJARATI||GUJARATI||
127|HAI|1|HAIDA|1|HAIDA||
128|HAU|1|HAUSA||HAUSA||
129|HAW|1|HAWAIIAN||HAWAIEN||
130|HEB|1|HEBREW||HEBREU||
131|HER|1|HERERO||HERERO||
132|HIL|1|HILIGAYNON||HILIGAYNON||
133|HIM|1|HIMACHALI||HIMACHALI||
134|HIN|1|HINDI||HINDI||
135|HMO|1|HIRI MOTU||HIRI MOTU||
136|HUN|1|HUNGARIAN||HONGROIS||
137|HUP|1|HUPA||HUPA||
138|IBA|1|IBAN||IBAN||
139|IBO|1|IGBO||IGBO||
140|ICE|1|ICELANDIC||ISLANDAIS||
141|IJO|1|IJO||IJO||
142|ILO|1|ILOCANO||ILOCANO||
143|INC|1|INDIC (OTHER)||INDIO (AUTRES)||
144|IND|1|INDONESIAN||INDONESIEN||
145|INE|1|INDO-EUROPEAN (OTHER)||INDO-EUROPEEN (AUTRES)||
146|INT|1|INTERLINGUA||INTERLINGUA||
147|INU|1|INUKTITUT|1|INUKTITUT||
148|IRA|1|IRANIAN (OTHER)||IRANIEN (AUTRES)||
149|IRI|1|IRISH||IRLANDAIS||
150|IRO|1|IROQUOIAN LANGUAGES|1|LANGUES IROQUOISES||
151|ITA|1|ITALIAN||ITALIEN||
152|JAV|1|JAVANESE||JAVANAIS||
153|JPN|1|JAPANESE||JAPONAIS||
154|JPR|1|JUDAEO-PERSIAN||JUDEO-PERSAN||
155|JRB|1|JUDAEO-ARABIC||JUDEO-ARABE||
156|KAA|1|KARAKALPAK||KARAKALPAK||
157|KAB|1|KABYLE||KABYLE||
158|KAC|1|KACHIN||KACHIN||
159|KAM|1|KAMBA||KAMBA||
160|KAN|1|KANNADA||KANNADA||
161|KAR|1|KAREN||KAREN||
162|KAS|1|KASHMIRI||CACHEMIRE||
163|KAU|1|KANURI||KANURI||
164|KAW|1|KAWI||KAWI||
165|KAZ|1|KAZAKH||KASAKH||
166|KHA|1|KHASKI||KHASKI||
167|KHI|1|KHOISAN (OTHER)||KHOISAN (AUTRES)||
168|KHO|1|KHOTANESE||KHOTANAIS||
169|KIK|1|KIKUYA||KIKUYU||
170|KIN|1|KINYARWANDA||KINYARWANDA||
171|KIR|1|KIRGHIZ||KIRGUIZ||
172|KOK|1|KONKANI||KONKANI||
173|KON|1|KONGO||KONGOLAIS||
174|KOR|1|KOREAN (USE FOR RELATED KOREAN||COREEN||
175|KPE|1|KPELLE||KPELLE||
176|KRO|1|KRU||KRU||
177|KRU|1|KURUKH||KURUKH||
178|KUA|1|KUANYAMA||KUANYAMA||
179|KUR|1|KURDISH||KURDE||
180|KUS|1|KUSAIE||KUSAIE||
181|KUT|1|KUTENAI|1|KUTENAI||
182|LAD|1|LADINO||LADINO||
183|LAH|1|LAHNDA||LAHNDA||
184|LAM|1|LAMBA||LAMBA||
185|LAO|1|LAO||LAOTIEN||
186|LAP|1|LAPP||LAPON||
187|LAT|1|LATIN||LATIN||
188|LAV|1|LATVIAN||LETTON||
