CountryOfOriginID|CountryOfOriginCD|ActiveFG|FilterTvFG|FilterPayFG|EnglishDescription|FrenchDescription
1|0|1|1|0|NEUTRAL COUNTRY|PAYS NEUTRE
2|1|1|1|1|CANADA|CANADA
3|1|1|0|0|CANADA - (OTHER THAN QUEBEC)|CANADA - (SAUF LE QUEBEC)
4|2|1|1|0|UNITED STATES|êTATS-UNIS
5|2|1|0|1|UNITED STATES (OTHER THAN DISNEY CHANNEL)|êTATS-UNIS (SAUF DISNEY CHANNEL)
6|3|1|1|1|UNITED KINGDOM|ROYAUME-UNI
7|4|1|1|1|FRANCE|FRANCE
8|5|1|1|0|OTHER|AUTRE
9|5|1|0|0|QUEBEC|QUêBEC
10|6|1|0|1|DISNEY CHANNEL|DISNEY CHANNEL
11|7|1|0|1|OTHER|AUTRE
