ProgramClassID|ProgramClassCD|ActiveFG|FilterTvFG|FilterPayFG|EnglishDescription|FrenchDescription
1|AUT |1|0|0|AUTOPROMOTION|AUTOPROMOTION
2|BAL |1|0|0|BALANCE PROGRAMMING|BALANCE PROGRAMMING
3|COM |1|1|1|COMMERCIAL MESSAGE|MESSAGE PUBLICITAIRE
4|COR |1|0|0|CORNERSTONE|CORNERSTONE
5|DOC |1|0|0|DOCUMENTARY|DOCUMENTAIRES
6|GIA |1|0|1|GIVEAWAYS|CADEAUX PROMOTIONNELS
7|ID  |1|1|1|NETWORK IDENTIFICATION MESSAGE|MESSAGE D'IDENTIFICATION DU RêSEAU
8|INT |1|1|1|INTERSTITIAL|INTERSTITIAL
9|LOC |1|0|1|LOCAL ADVERTISING|PUBLICITE LOCALE
10|MAG |1|1|1|MAGAZINE PROGRAM|MAGAZINE PROGRAM
11|MER |1|0|1|MERCHANDISING|MARCHANDAGE
12|MVC |1|1|1|MUSIC VIDEO CLIP|VIDêO CLIP
13|NRN |1|1|1|No recognized nationality|Aucune nationalitÇ reconnue
14|OFF |1|1|1|SCHEDULED OFF AIR TIME PERIOD|SIGNALE LES PêRIODES HORS ONDES PRêVUES
15|OFT |1|1|1|OFF AIR DUE TO TECHNICAL DIFFICULTY|PêRIODES HORS ONDES\PROBLEMES TECHNIQUES
16|PCR |1|0|0|PRODUCTION CREDIT|MENTION DE CONTRIBUTION A LA PRODUCTION
17|PFS |1|1|1|PROGRAM FIRST SEGMENT|1ERE INSCRIPTION - êMISSION A SEGMENT
18|PGI |1|1|0|PROGRAM INFOMERCIAL|PROGRAM D'INFOPUBLICITê
19|PGR |1|1|1|PROGRAM|êMISSION
20|PRC |1|1|1|PROMOTION OF UPCOMING CANADIAN PROGRAM|PROMOTION - êMISSION CANADIENNE A VENIR
21|PRO |1|1|1|PROMOTION OF NON-CANADIAN PROGRAM|PROMOTION D'êMISSIONS NON CANADIENNES
22|PRP |1|0|0|PROMOTION DURING DESIGNATED PREVIEW TIME|PêRIODES RêSERVêES AUX SêQUENCES-ANNONCE
23|PSA |1|1|1|PUBLIC SERVICE ANNOUNCEMENT|MESSAGE D'INTêRET PUBLIC
24|REF |1|0|0|REFERENDUM|RêFêRENDUM
25|REG |1|1|1|REGIONAL|RêGIONAL
26|SEG |1|1|1|SEGMENT OF A PROGRAM|SEGMENT D'UNE êMISSION
27|SO  |1|1|1|MAY IDENTIFY THE SIGN ON\OFF OF A DAY|PEUT IDENTIF. LE DêBUT\FIN D'UNE JOURNêE
28|SOL |1|0|1|SOLICITATION MESSAGE|MESSAGE DE SOLLICITATION
29|SPO |1|0|1|SPONSORSHIP MESSAGE|MESSAGE DE COMMANDITE
30|MOS |1|0|0|Mosaic|Mosaic
