LogIdentifierID|LogServiceID|PrimaryFG
13ST|3157|1
2000SM|3466|1
70SM|3883|1
80SM|3590|1
90SM|3470|1
9DAPTN|3158|1
9DCFCF|3159|1
9DCFRN|3160|1
9DCHRO|3161|1
9DCIVI|3162|1
9DCJCH|3163|1
9DCJOH|3164|1
9DCKCK|3165|1
9DCKCW|3166|1
9DCKVR|3167|1
9DCKY|3168|1
9DLEAF|3169|1
9DMC2|3170|1
9DMPIX|3171|1
9DMUCH|3172|1
9DOWN|3173|1
9DRAPT|3174|1
9DRDS|3175|1
9DRIS|3176|1
9DSCOR|3177|1
9DSUP1|3178|1
9DSUP2|3179|1
9DTDC|3180|1
9DTMN|3181|1
9DTMN2|3182|1
9DTMN3|3183|1
9DTMN4|3184|1
9DTSN|3185|1
9DTSN1|3186|1
9DTSN2|3187|1
9DYTV|3188|1
AASTHA|3189|1
ABORI|3190|1
ABORIH|3921|1
ABORIN|3191|1
ABORIW|3192|1
ACCESS|3263|0
ACTION|3193|1
ADIK|3605|0
AFROGN|3194|1
ALLARC|3684|0
ALLTV|3195|1
ALPHA|3196|0
AMIFR|3914|1
AMITV|3688|1
ANIMAL|3197|1
AOVMC|3198|1
AOVMF|3199|1
AOVXX|3200|1
APL|3197|0
APTN|3201|1
APTNH|3201|0
APTNN|3202|1
APTNW|3203|1
ARAB|3204|0
ARGENT|3570|1
ARTV|3205|1
ARY|3728|0
ASIDE|3216|1
ASN|3206|1
ATN1|3207|1
ATN10|3908|1
ATN11|3909|1
ATN12|3910|1
ATN13|3911|1
ATN14|3912|1
ATN2|3208|1
ATN3|3209|1
ATN4|3210|1
ATN5|3211|1
ATN6|3212|1
ATN7|3213|1
ATN8|3214|1
ATN9|3215|1
AUX|3216|0
AXN|3470|0
B4UMUS|3217|0
BANGLA|3218|0
BBCCND|3219|1
BBCE|3645|1
BBCEAR|3645|0
BBCEARTH|3645|0
BBCKID|3220|1
BC1|3221|1
BIOTV|3222|0
BITE|3223|0
BLC|3224|1
BNN|3641|1
BOLD|3262|0
BOLLY|3225|1
BOOK|3226|1
BPM|3227|1
BRAVO|3228|1
BRAVO!|3228|0
CANALD|3229|1
CANALF|3230|0
CANALN|3569|0
CANALVIE|3231|1
CANALZ|3232|0
CANZ|3232|0
CARIBB|3233|1
CARTN|3709|1
CASA|3523|1
CATHAY|3689|0
CAVE|3589|1
CBAFT|3234|1
CBAT|3235|1
CBC|3236|1
CBCNW|3236|0
CBCT|3237|1
CBEFT|3238|1
CBET|3239|1
CBFT|3240|1
CBHT|3241|1
CBIT|3242|1
CBKFT|3243|1
CBKFTT|3243|0
CBKST|3244|1
CBKT|3245|1
CBLFT|3246|1
CBLN|3247|1
CBLT|3248|1
CBMT|3249|1
CBNT|3250|1
CBOFT|3251|1
CBOT|3252|1
CBRT|3253|1
CBUFT|3254|1
CBUT|3255|1
CBVT|3256|1
CBWFT|3257|1
CBWT|3258|1
CBXFT|3259|1
CBXT|3260|1
CBYT|3261|1
CCAN|3262|0
CESS|3263|1
CEVASI|3264|1
CFACL|3340|0
CFAP|3265|1
CFCF|3266|1
CFCL|3267|1
CFCM|3268|1
CFCN|3269|1
CFCNL|3270|1
CFCNTV5|3270|0
CFEG|3271|1
CFEM|3272|1
CFER|3273|1
CFGS|3274|1
CFHD|3275|1
CFJC|3276|1
CFJP|3277|1
CFKM|3278|1
CFKS|3279|1
CFMT|3280|1
CFPL|3281|1
CFQC|3282|1
CFRE|3283|1
CFRN|3284|1
CFRN3|3285|1
CFRN4|3286|1
CFRN6|3287|1
CFRNF|3288|1
CFRNG|3289|1
CFRNR|3290|1
CFRS|3291|1
CFSK|3292|1
CFTF|3293|1
CFTK|3294|1
CFTM|3295|1
CFTO|3296|1
CFTU|3297|1
CFTV|3298|1
CFTV1|3299|1
CFTV2|3300|1
CFTV3|3301|1
CFTV4|3302|1
CFVS|3303|1
CFYK|3304|1
CGTV|3305|0
CHAN|3306|1
CHAT|3307|1
CHAU|3308|1
CHBC|3309|1
CHBX|3310|1
CHCA|3311|1
CHCH|3312|1
CHEK|3313|1
CHEM|3314|1
CHEX|3315|1
CHEX02|3316|1
CHEX2|3316|0
CHFD|3317|1
CHISTO|3468|1
CHLF|3318|1
CHLT|3319|1
CHMG|3320|1
CHMI|3321|1
CHNB|3322|1
CHNB2|3334|1
CHNM|3323|1
CHNU|3324|1
CHOT|3325|1
CHRGD|3436|1
CHRO|3326|1
CHRO43|3327|1
CHSJ|3235|0
CHWI|3328|1
CHX2|3316|0
CI|3157|0
CICA|3329|1
CICC|3330|1
CICI|3331|1
CICT|3332|1
CIHF|3333|1
CIHF2|3334|0
CIII|3335|1
CIIT|3336|1
CIMT|3337|1
CINEMA|3338|1
CIPA|3339|1
CISA|3340|1
CISF|3318|0
CITL|3341|1
CITO|3342|1
CITS|3343|1
CITV|3344|1
CITV01|3345|0
CITV1|3345|1
CITY|3346|1
CIV|3429|0
CIVI|3347|1
CIVM|3348|1
CIVT|3349|1
CJBN|3350|1
CJBRT|3351|1
CJCB|3352|1
CJCH|3353|1
CJCO|3354|1
CJDC|3355|1
CJEO|3356|1
CJFB|3357|1
CJIC|3358|1
CJIL|3359|1
CJMT|3360|1
CJNT|3361|1
CJOH|3362|1
CJON|3363|1
CJPM|3364|1
CKAL|3365|1
CKBI|3366|1
CKCK|3367|1
CKCO|3368|1
CKCO2|3369|1
CKCO3|3370|1
CKCS|3371|1
CKCW|3372|1
CKEM|3373|1
CKES|3374|1
CKLT|3375|1
CKMI|3376|1
CKNC|3377|1
CKND|3378|1
CKNO|3379|1
CKNX|3380|1
CKNY|3381|1
CKNY11|3382|1
CKOS|3383|1
CKPG|3384|1
CKPR|3385|1
CKRD|3311|0
CKRN|3386|1
CKRS|3387|0
CKRT|3388|1
CKSA|3389|1
CKSH|3390|1
CKTM|3391|1
CKTV|3387|1
CKVR|3392|1
CKVU|3393|1
CKWC|3398|0
CKWS|3394|1
CKWS01|3397|0
CKWS1|3395|1
CKWS2|3396|1
CKWSA|3397|1
CKWSB|3398|1
CKX|3399|1
CKXT|3400|1
CKY|3401|1
CLT|3402|0
CMET|3403|1
CMETF|3403|0
CMT|3404|1
CNC|3405|1
COMEDY|3694|0
COMGLD|3725|1
COMOTT|3406|1
