DubDramaCreditID|DubDramaCreditCD|ActiveFG|EnglishDescription|FrenchDescription
1|0|1|25% - SPORTS EVENTS WITH FRENCH COMMENTARY|25% - êMISSIONS SPORT, AVEC COMMENTAIRES EN FRANC.
2|1|1|25% - DUBBED FROM OFFICIAL OR NATIVE LANGUAGE CDN|25% - DOUBLAGE EN LANG. OFFICIELLES OU AUTOCHTONES
3|2|1|50% - DUBBED FROM NON-OFFICIAL OR NON-NATIVE LANG.|50% - DOUBLAGE EN LANG.AUTRE QU'OFFICIELLE\AUTOCH.
4|3|1|150% - PROGRAM QUALIFYING FOR 150% CREDIT|150% - êMISSION SE QUALIFIANT POUR CREDIT DE 150%
5|4|1|100% - CANADIAN PROGRAM|100% - êMISSION CANADIENNE
6|5|1|100% + 25% - CDN DUBBING OF CANADIAN PROGRAM|100% + 25% - CDN DUBBING OF CANADIAN PROGRAM
7|6|1|150% + 25% -  CDN DUBBING OF 10PTS DRAMA CDN PROGRAM|150% + 25% -  CDN DUBBING OF 10PTS DRAMA CDN PROGRAM
8|9|0|150% + 33% -  CDN DUBBING OF 10PTS DRAMA CDN PROGRAM|150% + 33% -  CDN DUBBING OF 10PTS DRAMA CDN PROGRAM
9|T|0|Reserved|Reserved
10|7|1|33% - DUBBED FROM OFFICIAL OR NATIVE LANGUAGE CDN|33% - DOUBLAGE EN LANG. OFFICIELLES OU AUTOCHTONES
11|8|0|100% + 33% - CDN DUBBING OF CANADIAN PROGRAM|100% + 33% - CDN DUBBING OF CANADIAN PROGRAM
12|X|1|No Credit|No Credit
15|F|1|150% - Special For Reports|150% - Special For Reports
