FilmClassificationID|FilmClassificationCD|ActiveFG|FilterTvFG|FilterPayFG|EnglishDescription|FrenchDescription
1|A|1|0|1|ONT. "G", VIEWING BY PEOPLE OF ALL AGES|ONT. "G", PERSONNES DE TOUT AGE, SANS RESTRICTION
2|B|1|0|1|ONT. "PG", PARENTAL GUIDANCE ADVISED|ONT. "PG", SURVEILLANCE PARENTALE RECOMMANDêE
3|C|1|0|1|ONT. "A", ADULT ACCOMPANIMENT IF UNDER AGE 14 YRS|ONT. "A", ACCOMPAGNEMENT ADULTE OBLIG. MOINS 14 AN
4|D|1|0|1|ONT. "R", RESTRICTED TO PERSONS 18 YRS OF AGE & +|ONT. "R", RêSERVê AUX PERSONNES DE 18 ANS & +
5|E|1|0|1|QUE. "G", VIEWING BY PEOPLE OF ALL AGES|QUE. "G", PERSONNES DE TOUS AGES
6|F|1|0|1|QUE. 13 & +, UNLESS ACCOMPANIED BY ADULT|QUE. 13 & +, SAUF ACCOMPAGNêE PAR PERSONNE MAJEURE
7|G|1|0|1|QUE. 16 & +|QUE. 16 & +
8|H|1|0|1|QUE. 18 & +|QUE. 18 & +
9|Q|1|0|1|ONT "G"|ONT "G"
10|I|1|0|1|ONT "PG"|ONT "PG"
11|J|1|0|1|ONT "14A"|ONT "14A"
12|K|1|0|1|ONT "18A"|ONT "18A"
13|L|1|0|1|ONT "R"|ONT "R"
14|M|1|0|1|QUE. G|QUE. G
15|N|1|0|1|QUE. 13+|QUE. 13+
16|O|1|0|1|QUE. 16+|QUE. 16+
17|P|1|0|1|QUE. 18+|QUE. 18+
